T�tulo,componentes-precio-energia-cierre-desglose-nuevo_01-2021_12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema el�ctrico,PENINSULAR,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,�/MWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,ene/21,feb/21,mar/21,abr/21,may/21,jun/21,jul/21,ago/21,sep/21,oct/21,nov/21,dic/21,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
Mercado diario,"63.6","29.86","46.39","66.2","67.95","83.94","92.8","106.45","156.53","202.47","197.46","245.71","205.86","202.01","287.23","194.38","187.85","169.73","143.18","154.77","142.69","128.83","117.35","101.36"
Mercado intradiario (subastas MIBEL y continuo),"0,03","-0,02","-0,02","-0,03","-0,03","-0,03","-0,03","-0,04",-,"-0,09","0,03","-0,06","-0,04","-0,08","-0,11","-0,19","-0,15","-0,1","-0,39","-0,28","-0,61","-0,13","-0,17","-0,15"
Restricciones t�cnicas PDBF,"1,8","2,14","1,99","1,7","2,49","1,96","1,21","2,07","1,02","2,43","1,47","1,79","1,25","1,29","2,25","4,32","3,09","1,26","0,94","0,86","0,89","1,76","2,43","4,16"
Banda de regulaci�n secundaria,"0,71","1,16","0,66","0,58","0,97","0,73","0,72","1,17","1,23","1,96","1,6","1,5","1,02","1,2","2,16","2,22","3,08","2,88","2,48","2,66","2,53","3,05","2,61","2,68"
Restricciones t�cnicas en tiempo real,"0,95","0,67","0,54","0,71","0,42","0,29","1,08","1,18","1,43","1,84","2,44","2,27","1,05","0,84","2,22","1,73","1,34","1,43","3,09","3,2","5,07","4,71","2,38","4,82"
Incumplimiento de energ�a de balance,"-0,05","-0,02","-0,02","-0,04","-0,04","-0,03","-0,03","-0,03","-0,09","-0,13","-0,12","-0,19","-0,1","-0,12","-0,21","-0,16","-0,24","-0,74","-0,39","-0,32","-0,25","-0,42","-0,29","-0,4"
Coste desv�os,"0,49","0,24","0,25","0,24","0,29","0,25","0,26","0,33","0,55","0,77","0,67","1,31","0,93","0,68","1,07","0,83","0,83","1,43","0,53","1,13","0,7","0,72","0,4","0,74"
Saldo desv�os,"-0,2","-0,13","-0,1","-0,12","-0,16","-0,12","-0,12","-0,05","-0,23","-0,2","-0,1","-0,66","-0,31","-0,36","-0,34","-0,3","-0,29","-0,39","-0,29","-0,31","0,04","-0,15","0,09","0,03"
Control del factor de potencia,"-0,07","-0,07","-0,06","-0,06","-0,07","-0,06","-0,06","-0,06","-0,06","-0,07","-0,07","-0,08","-0,07","-0,06","-0,07","-0,09","-0,08","-0,06","-0,06","-0,07","-0,07","-0,08","-0,08","-0,08"
Saldo PO 14.6,"0,02","0,01","0,01","0,05","0,01","-0,01","0,03","0,01","0,02","0,05","0,04","0,05","0,04","0,03",-,"0,05","0,09","0,04","0,09","0,07","0,03","0,04","0,02","0,07"
Servicios de ajuste,"3.6500000000000004","3.9999999999999996","3.2699999999999996","3.059999999999999","3.9099999999999997","3.0100000000000002","3.09","4.62","3.8699999999999997","6.65","5.93","5.989999999999999","3.8100000000000005","3.5","7.080000000000001","8.600000000000001","7.819999999999999","5.85","6.390000000000001","7.220000000000001","8.939999999999998","9.629999999999999","7.56","12.02"
Pagos por capacidad,"3,02","2,98","2,38","2,31","2,22","0,31","0,55","0,31","0,31","0,26","0,38","0,55","0,44","0,47","0,33","0,24","0,23","0,25","0,44","0,26","0,26","0,21","0,31","0,43"
Mecanismo ajuste RD-L 10/2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,54","66,88","88,84","64,95","22,46","7,14","32,09"
Precio total (�/MWh),"70.3","36.82","52.02","71.54","74.05","87.23","96.41","111.34","160.71","209.29","203.8","252.19","210.07","205.9","294.53","203.03","195.75","203.27","216.5","250.81","216.23","161","132.19","145.75"
Energ�a de cierre (MWh),"22763718.626","19226403.559","20726678.411","18866747.195","19252736.119","19556420.618","21548887.062","20642308.855","19658166.114","18995727.34","20302822.136","20824298.47","21511965.926","19111999.383","20298247.372","18500502.117","19144269.75","20059252.435","22146852.696","20502359.179","18980101.711","18139033.58","18225717.873","19138549.664"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportaci�n,28/05/2023 - 13:35:29,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
