T�tulo,evolucion-renovable-no-renovable_01-2021_12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema el�ctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,%,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,ene/21,feb/21,mar/21,abr/21,may/21,jun/21,jul/21,ago/21,sep/21,oct/21,nov/21,dic/21,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
Renovable,"51.68","58.483","53.4","46.435","50.965","46.758","46.253","42.542","36.117","38.731","41.956","46.468","40.12","39.007","45.624","50.331","50.162","39.804","38.445","37.765","37.543","38.491","46.684","44.588"
No renovable,"48.32","41.517","46.6","53.565","49.035","53.242","53.747","57.458","63.883","61.269","58.044","53.532","59.88","60.993","54.376","49.669","49.838","60.196","61.555","62.235","62.457","61.509","53.316","55.412"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,"Energ�a renovable: incluye hidr�ulica, hidroe�lica, e�lica, solar fotovoltaica, solar t�rmica, otras renovables y residuos renovables.",,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2021 - 30/06/2022,,,,,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 31/12/2022,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportaci�n,28/05/2023 - 13:31:02,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
